#Data,Import,Orgànica,Àrea CA,Funcional,Econòmica,Nom terc.,Text lliure
2023-01-03,57.1,06,Serveis municipals i via pública,,,"A. EMBARBA, SA",MANTENIMENT ASCENSORS EDIFICIS MPALS NOVEMBRE 2022
2023-01-03,57.1,06,Serveis municipals i via pública,,,"A. EMBARBA, SA",MANTENIMENT ASCENSORS EDIFICIS MPALS NOVEMBRE 2022
2023-01-03,57.1,06,Serveis municipals i via pública,,,"A. EMBARBA, SA",MANTENIMENT ASCENSORS EDIFICIS MPALS NOVEMBRE 2022
2023-01-03,57.1,06,Serveis municipals i via pública,,,"A. EMBARBA, SA",MANTENIMENT ASCENSORS EDIFICIS MPALS NOVEMBRE 2022
2023-01-03,57.1,06,Serveis municipals i via pública,,,"A. EMBARBA, SA",MANTENIMENT ASCENSORS EDIFICIS MPALS NOVEMBRE 2022
2023-01-03,57.11,06,Serveis municipals i via pública,,,"A. EMBARBA, SA",MANTENIMENT ASCENSORS EDIFICIS MPALS NOVEMBRE 2022
2023-01-03,245.68,17,Ocupació,,,"ABAST SYSTEMS, SA",ARRENDAMENT FINANCER 16 ORDINADORS FORMACIÓ ROURE DESEMBRE 2022
2023-01-03,1694,20,Promoció econòmica,,,"ACTUA PRODUCCIONS ARTISTIQUES, S.L.",ESPECTACLE FIRA DE NADAL
2023-01-03,157.3,20,Promoció econòmica,,,"ADAMO TELECOM IBERIA, SA",SERVEI INTERNET I IPO CAN GAVARRA NOVEMBRE 2022
2023-01-03,1198.26,14,Dona i igualtat,,,"ADAMUZ PASTOR, MONICA",SUPORT PSICOLÓGIC DONES I FILLS/ES EN SITUACIÓ DE VULNERABILITAT NOVEMBRE 2022
2023-01-03,1580,10,Joventut,,,"AIMENTIA HEALTHTECH, SL",ACTIVITAT SALUT MENTAL JUVENIL
2023-01-03,720,16,Serveis socials,,,ALARTE SANZ Y CIA CB,LLOGUER PIS SOCIAL C/BALMES - GENER 2023
2023-01-03,720,16,Serveis socials,,,ALARTE SANZ Y CIA CB,LLOGUER PIS SOCIAL C/BALMES - DESEMBRE 2022
2023-01-03,2987.49,01,Presidència-Òrgans de govern,,,"ALIBÉS MARQUÈS, CLARA",SERVEI RESTAURACIÓ DOCUMENTACIÓ ARXIU
2023-01-03,122.21,15,Salut i consum ,,,ALMAS INDUSTRIES B+SAFE,MANTENIMENT APARELLS DEA
2023-01-03,63.98,15,Salut i consum ,,,"ANTICIMEX 3D SANIDAD AMBIENTAL, SA",SERVEI CONTROL DE PLAGUES CAN GAVARRA MAIG 2022
2023-01-03,63.98,15,Salut i consum ,,,"ANTICIMEX 3D SANIDAD AMBIENTAL, SA",SERVEI CONTROL DE PLAGUES CAN GAVARRA AGOST 2022
